date;device-id;rssi;snr;payload
2024-02-21T18:40:23.921986667Z;eui-70b3d57ed00633b8;-47;13.5;11011;20.11;42.88;986.24;;;;
2024-02-21T18:41:30.195690453Z;eui-70b3d57ed00633b8;-43;13.25;11011;20.11;42.94;986.16;;;;
2024-02-21T18:42:36.468999003Z;eui-70b3d57ed00633b8;-45;14;11011;20.11;42.90;986.13;;;;
2024-02-21T18:43:42.749399115Z;eui-70b3d57ed00633b8;-43;13.5;11011;20.10;42.88;986.11;;;;
2024-02-21T18:44:49.016283950Z;eui-70b3d57ed00633b8;-47;11.5;11011;20.11;42.97;986.11;;;;
2024-02-21T18:45:55.286105815Z;eui-70b3d57ed00633b8;-47;13.25;11011;20.12;42.89;986.07;;;;
2024-02-21T18:47:01.570953473Z;eui-70b3d57ed00633b8;-52;10;11011;20.14;42.77;985.99;;;;
2024-02-21T18:48:06.862159047Z;eui-70b3d57ed00633b8;-49;12.75;11011;20.10;42.86;986.03;;;;
2024-02-21T18:49:13.133066380Z;eui-70b3d57ed00633b8;-46;13.25;11011;20.11;42.73;986.08;;;;
2024-02-21T18:50:18.430262857Z;eui-70b3d57ed00633b8;-47;11.75;11011;20.13;43.06;986.07;;;;
2024-02-21T18:54:28.251001538Z;eui-70b3d57ed00633b8;-40;14.75;11011;20.13;42.86;986.11;;;;
2024-02-21T18:58:40.301905408Z;eui-70b3d57ed00633b8;-41;14.25;11011;20.15;42.69;986.09;;;;;;;
2024-02-21T19:04:04.870178249Z;eui-70b3d57ed00633b8;-45;14;11011;20.15;42.96;985.90;;;;42.00;5.00;40.20;33.69
2024-02-21T19:05:43.741881980Z;eui-70b3d57ed00633b8;-47;13.75;11011;20.15;42.98;985.95;;;;42.00;5.00;40.20;33.69
2024-02-21T19:06:50.047695732Z;eui-70b3d57ed00633b8;-48;13.5;11011;20.24;42.77;985.85;;;;42.00;5.00;40.20;33.69
2024-02-21T19:07:56.376812620Z;eui-70b3d57ed00633b8;-47;11.75;11011;20.20;42.98;985.86;;;;42.00;5.00;40.20;33.69
2024-02-21T19:09:02.698016149Z;eui-70b3d57ed00633b8;-45;13.75;11011;20.24;42.61;985.87;;;;42.00;5.00;40.20;33.69
2024-02-21T19:10:09.002060882Z;eui-70b3d57ed00633b8;-43;9;11011;20.18;42.98;985.76;;;;42.00;5.00;40.20;33.69
2024-02-21T19:11:15.324320764Z;eui-70b3d57ed00633b8;-46;13.5;11011;20.15;43.01;985.83;;;;42.00;5.00;40.20;33.69
2024-02-21T19:12:21.631538304Z;eui-70b3d57ed00633b8;-50;14;11011;20.16;42.70;985.79;;;;42.00;5.00;40.20;33.69
2024-02-21T19:13:27.964273058Z;eui-70b3d57ed00633b8;-45;13.5;11011;20.19;42.46;985.71;;;;42.00;5.00;40.20;33.69
2024-02-21T19:14:34.265019129Z;eui-70b3d57ed00633b8;-47;11.75;11011;20.17;42.97;985.72;;;;42.00;5.00;40.20;33.69
2024-02-21T19:15:40.589928313Z;eui-70b3d57ed00633b8;-43;13.5;11011;20.14;43.05;985.76;;;;42.00;5.00;40.20;33.69
2024-02-21T19:16:46.917393595Z;eui-70b3d57ed00633b8;-46;13.5;11011;20.11;40.90;985.71;;;;42.00;5.00;40.20;33.69
2024-02-21T19:17:53.227503670Z;eui-70b3d57ed00633b8;-47;11.5;11011;20.04;40.00;985.67;;;;42.00;5.00;40.20;33.69
2024-02-21T19:18:59.524257130Z;eui-70b3d57ed00633b8;-44;13.5;11011;20.02;40.45;985.73;;;;42.00;5.00;40.20;33.69
2024-02-21T19:20:05.848479519Z;eui-70b3d57ed00633b8;-45;14;11011;20.10;40.48;985.67;;;;42.00;5.00;40.20;33.69
2024-02-21T19:21:12.171163874Z;eui-70b3d57ed00633b8;-45;14.25;11011;20.08;40.51;985.57;;;;42.00;5.00;40.20;33.69
2024-02-21T19:22:18.476910610Z;eui-70b3d57ed00633b8;-46;13;11011;20.02;40.80;985.62;;;;42.00;5.00;40.20;33.69
2024-02-21T19:23:24.792481169Z;eui-70b3d57ed00633b8;-43;13.75;11011;19.97;41.11;985.63;;;;42.00;5.00;40.20;33.69
2024-02-21T19:27:43.002616228Z;eui-70b3d57ed00633b8;-40;12;11011;19.90;41.63;985.65;;;;42.00;5.00;40.20;33.69
2024-02-21T19:29:27.461882998Z;eui-70b3d57ed00633b8;-40;13.25;11011;19.89;41.66;985.61;;;;42.00;5.00;40.20;33.69
2024-02-21T19:30:45.505724581Z;eui-70b3d57ed00633b8;-43;13.5;11011;19.92;41.62;985.48;;;;42.00;5.00;40.20;33.69
2024-02-21T19:31:51.776396265Z;eui-70b3d57ed00633b8;-44;10.75;11011;19.97;41.46;985.53;;;;42.00;5.00;40.20;33.69
2024-02-21T19:32:58.091979238Z;eui-70b3d57ed00633b8;-46;13.5;11011;19.92;41.55;985.50;;;;42.00;5.00;40.20;33.69
2024-02-21T19:34:03.403239447Z;eui-70b3d57ed00633b8;-44;13.5;11011;19.89;41.53;985.55;;;;42.00;5.00;40.20;33.69
