date;device-id;rssi;snr;status;temperature;humidity;pressure;latitude;longitude;altitude;battery;ph;soilMoisture;leafMoisture
2024-02-22T15:10:05.125395047Z;eui-70b3d57ed00633b8;-55;10.5;11011;21.41;42.10;965.74;;;;42.00;5.00;40.20;33.69
2024-02-22T15:11:11.407593658Z;eui-70b3d57ed00633b8;-45;13.5;11011;21.48;42.31;965.69;;;;42.00;5.00;40.20;33.69
2024-02-22T15:12:17.713993235Z;eui-70b3d57ed00633b8;-44;13.25;11011;21.14;43.25;965.66;;;;42.00;5.00;40.20;33.69
2024-02-22T15:13:23.998180976Z;eui-70b3d57ed00633b8;-43;9.5;11011;20.90;43.66;965.68;;;;42.00;5.00;40.20;33.69
2024-02-22T15:14:30.300707870Z;eui-70b3d57ed00633b8;-47;11.5;11011;20.77;44.11;965.66;;;;42.00;5.00;40.20;33.69
2024-02-22T15:15:36.585135040Z;eui-70b3d57ed00633b8;-42;13.5;11011;20.64;44.51;965.62;;;;42.00;5.00;40.20;33.69
2024-02-22T15:16:42.889534970Z;eui-70b3d57ed00633b8;-42;13.75;11011;20.59;44.64;965.67;;;;42.00;5.00;40.20;33.69
2024-02-22T15:17:49.176461136Z;eui-70b3d57ed00633b8;-49;13.5;11011;20.50;44.90;965.69;;;;42.00;5.00;40.20;33.69
2024-02-22T15:18:55.463577140Z;eui-70b3d57ed00633b8;-49;13;11011;20.58;44.94;965.60;;;;42.00;5.00;40.20;33.69
2024-02-22T15:20:00.942032422Z;eui-70b3d57ed00633b8;-47;13;11011;20.96;44.11;965.64;50.047176;10.206040;242.50;42.00;5.00;40.20;33.69
2024-02-22T15:21:07.254672235Z;eui-70b3d57ed00633b8;-44;14.25;11011;21.05;43.87;965.66;;;;42.00;5.00;40.20;33.69
2024-02-22T15:22:13.548558722Z;eui-70b3d57ed00633b8;-46;14;11011;21.13;43.80;965.60;;;;42.00;5.00;40.20;33.69
2024-02-22T15:23:19.143085886Z;eui-70b3d57ed00633b8;-47;11.75;11011;21.21;43.59;965.67;;;;42.00;5.00;40.20;33.69
2024-02-22T15:24:25.419419616Z;eui-70b3d57ed00633b8;-46;13.5;11011;21.29;43.35;965.70;;;;42.00;5.00;40.20;33.69
2024-02-22T15:25:31.721305574Z;eui-70b3d57ed00633b8;-42;13.75;11011;21.29;43.42;965.64;;;;42.00;5.00;40.20;33.69
2024-02-22T15:26:38.021299442Z;eui-70b3d57ed00633b8;-44;10.75;11011;21.30;43.41;965.61;;;;42.00;5.00;40.20;33.69
2024-02-22T15:27:44.318303880Z;eui-70b3d57ed00633b8;-45;13.75;11011;21.28;43.60;965.57;;;;42.00;5.00;40.20;33.69
2024-02-22T15:28:50.606686765Z;eui-70b3d57ed00633b8;-47;13.25;11011;21.27;43.48;965.58;;;;42.00;5.00;40.20;33.69
2024-02-22T15:29:56.898141467Z;eui-70b3d57ed00633b8;-42;14;11011;21.36;43.44;965.51;;;;42.00;5.00;40.20;33.69
2024-02-22T15:31:03.183044620Z;eui-70b3d57ed00633b8;-47;11.25;11011;21.24;43.81;965.67;;;;42.00;5.00;40.20;33.69
2024-02-22T15:32:09.474372216Z;eui-70b3d57ed00633b8;-42;14.25;11011;21.28;43.64;965.52;;;;42.00;5.00;40.20;33.69
